"Country","Country_Code","Year","Month","Suspected","Total","Probable and confirmed","Confirmed","Probable","Suspected and confirmed"
"AFGHANISTAN","AFG",2021,"January",755,0,0,0,0,0
"AFGHANISTAN","AFG",2021,"February",512,0,0,0,0,0
"AFGHANISTAN","AFG",2021,"March",351,0,0,0,0,0
"AFGHANISTAN","AFG",2021,"April",367,0,0,0,0,0
"AFGHANISTAN","AFG",2021,"May",537,0,0,0,0,0
"AFGHANISTAN","AFG",2021,"June",292,0,0,0,0,0
"AFGHANISTAN","AFG",2021,"July",184,0,0,0,0,0
"AFGHANISTAN","AFG",2021,"August",250,0,0,0,0,0
"AFGHANISTAN","AFG",2021,"September",210,0,0,0,0,0
"AFGHANISTAN","AFG",2021,"October",426,0,0,0,0,0
"AFGHANISTAN","AFG",2021,"November",292,0,0,0,0,0
"AMERICAN SAMOA","ASM",1955,"January",0,0,0,0,0,0
"AMERICAN SAMOA","ASM",1979,"January",0,0,0,0,0,0
"AMERICAN SAMOA","ASM",1980,"January",0,1,0,0,0,0
"AMERICAN SAMOA","ASM",1981,"January",0,1,0,0,0,0
"AMERICAN SAMOA","ASM",1982,"January",0,0,0,0,0,0
"AMERICAN SAMOA","ASM",1983,"January",0,0,0,0,0,0
"AMERICAN SAMOA","ASM",1984,"January",0,0,0,0,0,0
"AMERICAN SAMOA","ASM",1988,"January",0,4,0,0,0,0
"AMERICAN SAMOA","ASM",1992,"January",0,0,0,0,0,0
"AMERICAN SAMOA","ASM",1993,"January",0,0,0,0,0,0
"AMERICAN SAMOA","ASM",1994,"January",0,246,0,0,0,0
"AMERICAN SAMOA","ASM",1995,"January",0,0,0,0,0,0
"AMERICAN SAMOA","ASM",1996,"January",0,49,0,0,0,0
"AMERICAN SAMOA","ASM",1998,"January",0,205,0,0,0,0
"AMERICAN SAMOA","ASM",1999,"January",0,1,0,0,0,0
"AMERICAN SAMOA","ASM",2000,"January",0,0,0,0,0,0
"AMERICAN SAMOA","ASM",2001,"January",0,500,0,0,0,0
"AMERICAN SAMOA","ASM",2002,"January",0,1185,0,0,0,0
"AMERICAN SAMOA","ASM",2003,"January",0,0,0,0,0,0
"AMERICAN SAMOA","ASM",2004,"January",0,0,0,0,0,0
"AMERICAN SAMOA","ASM",2005,"January",0,0,0,0,0,0
"AMERICAN SAMOA","ASM",2006,"January",0,53,0,0,0,0
"AMERICAN SAMOA","ASM",2007,"January",0,126,0,0,0,0
"AMERICAN SAMOA","ASM",2008,"January",0,649,0,0,0,0
"AMERICAN SAMOA","ASM",2009,"January",0,419,0,0,0,0
"AMERICAN SAMOA","ASM",2010,"January",0,51,0,0,0,0
"AMERICAN SAMOA","ASM",2015,"January",0,479,0,0,0,0
"AMERICAN SAMOA","ASM",2016,"January",0,0,0,0,0,0
"AMERICAN SAMOA","ASM",2017,"April",45,0,0,0,0,0
"AMERICAN SAMOA","ASM",2017,"May",66,0,0,0,0,0
"AMERICAN SAMOA","ASM",2017,"July",0,0,0,0,0,0
"AMERICAN SAMOA","ASM",2018,"July",0,0,0,0,0,0
"AMERICAN SAMOA","ASM",2018,"November",0,0,0,0,0,0
"AMERICAN SAMOA","ASM",2018,"December",0,0,0,0,0,0
"AMERICAN SAMOA","ASM",2019,"June",4,0,0,0,0,0
"AMERICAN SAMOA","ASM",2019,"July",0,0,0,0,0,0
"AMERICAN SAMOA","ASM",2019,"August",0,0,0,0,0,0
"ANGUILLA","AIA",1980,"January",0,0,0,0,0,0
"ANGUILLA","AIA",1981,"January",0,1,0,0,0,0
"ANGUILLA","AIA",1982,"January",0,0,0,0,0,0
"ANGUILLA","AIA",1983,"January",0,2,0,0,0,0
"ANGUILLA","AIA",1984,"January",0,0,0,0,0,0
"ANGUILLA","AIA",1985,"January",0,0,0,0,0,0
"ANGUILLA","AIA",1986,"January",0,0,0,0,0,0
"ANGUILLA","AIA",1987,"January",0,0,0,0,0,0
"ANGUILLA","AIA",1988,"January",0,0,0,0,0,0
"ANGUILLA","AIA",1989,"January",0,0,0,0,0,0
"ANGUILLA","AIA",1990,"January",0,12,0,0,0,0
"ANGUILLA","AIA",1991,"January",0,0,0,0,0,0
"ANGUILLA","AIA",1992,"January",0,0,0,0,0,0
"ANGUILLA","AIA",1995,"January",0,4,0,0,0,0
"ANGUILLA","AIA",1996,"January",0,1,0,0,0,0
"ANGUILLA","AIA",1997,"January",0,0,0,0,0,0
"ANGUILLA","AIA",1998,"January",0,0,0,0,0,0
"ANGUILLA","AIA",1999,"January",0,12,0,0,0,0
"ANGUILLA","AIA",2000,"January",0,3,0,0,0,0
"ANGUILLA","AIA",2001,"January",0,25,0,0,0,0
"ANGUILLA","AIA",2002,"January",0,5,0,0,0,0
"ANGUILLA","AIA",2003,"January",0,2,0,0,0,0
"ANGUILLA","AIA",2004,"January",0,0,0,0,0,0
"ANGUILLA","AIA",2005,"January",0,0,0,0,0,0
"ANGUILLA","AIA",2006,"January",0,0,0,0,0,0
"ANGUILLA","AIA",2007,"January",0,0,0,0,0,0
"ANGUILLA","AIA",2008,"January",0,9,0,0,0,0
"ANGUILLA","AIA",2009,"January",0,0,0,0,0,0
"ANGUILLA","AIA",2010,"January",0,1,0,0,0,0
"ANGUILLA","AIA",2011,"January",0,9,0,0,0,0
"ANGUILLA","AIA",2012,"January",0,7,0,0,0,0
"ANGUILLA","AIA",2013,"January",0,8,0,0,0,0
"ANGUILLA","AIA",2014,"June",0,0,0,0,0,0
"ANGUILLA","AIA",2014,"July",0,0,0,0,0,0
"ANGUILLA","AIA",2014,"August",0,1,0,0,0,0
"ANGUILLA","AIA",2014,"November",0,0,0,0,0,0
"ANGUILLA","AIA",2014,"December",0,1,0,0,0,0
"ANGUILLA","AIA",2015,"May",0,0,0,0,0,0
"ANGUILLA","AIA",2015,"June",0,0,0,0,0,0
"ANGUILLA","AIA",2015,"July",0,0,0,0,0,0
"ANGUILLA","AIA",2015,"August",0,0,0,0,0,0
"ANGUILLA","AIA",2015,"September",0,0,0,0,0,0
"ANGUILLA","AIA",2015,"October",0,0,0,0,0,0
"ANGUILLA","AIA",2015,"November",0,0,0,0,0,0
"ANGUILLA","AIA",2015,"December",0,0,0,0,0,0
"ANGUILLA","AIA",2017,"January",0,0,0,0,0,0
"ANGUILLA","AIA",2017,"February",0,2,0,0,0,0
"ANGUILLA","AIA",2017,"March",0,8,0,0,0,0
"ANGUILLA","AIA",2017,"October",0,0,0,0,0,0
"ANGUILLA","AIA",2017,"November",0,0,0,0,0,0
"ANGUILLA","AIA",2017,"December",0,0,0,0,0,0
"ANGUILLA","AIA",2018,"January",0,0,0,0,0,0
"ANGUILLA","AIA",2018,"February",0,0,0,0,0,0
"ANGUILLA","AIA",2018,"March",0,0,0,0,0,0
"ANGUILLA","AIA",2018,"April",0,0,0,0,0,0
"ANGUILLA","AIA",2018,"May",0,0,0,0,0,0
"ANGUILLA","AIA",2018,"June",0,0,0,0,0,0
"ANGUILLA","AIA",2018,"July",0,1,0,0,0,0
"ANGUILLA","AIA",2018,"August",0,0,0,0,0,0
"ANGUILLA","AIA",2018,"September",0,0,0,0,0,0
"ANGUILLA","AIA",2018,"October",0,0,0,0,0,0
"ANGUILLA","AIA",2018,"November",0,0,0,0,0,0
"ANGUILLA","AIA",2018,"December",0,0,0,0,0,0
"ANGUILLA","AIA",2019,"January",0,0,0,0,0,0
"ANGUILLA","AIA",2019,"February",0,0,0,0,0,0
