Entity,month_year,total_cases,avg_temp,hemisphere
Afghanistan,2020-01,11,-2.5605452,Northern
Armenia,2020-01,113,-5.9329987,Northern
Australia,2020-01,135,28.809507,Southern
Austria,2020-01,696,-1.510167,Northern
Bangladesh,2020-01,11,17.682123,Northern
Belgium,2020-01,377,5.3011007,Northern
Bhutan,2020-01,11,-0.26419616,Northern
Bolivia,2020-01,5,22.752026,Southern
Brazil,2020-01,29,25.832697,Southern
Bulgaria,2020-01,46,1.7432321,Northern
Burkina Faso,2020-01,4,25.500517,Southern
Cambodia,2020-01,12,26.685623,Southern
Cameroon,2020-01,1,24.663048,Southern
Canada,2020-01,9356,-20.058325,Northern
Chile,2020-01,1,13.897099,Southern
China,2020-01,7984,-6.585061,Northern
Colombia,2020-01,73,25.121561,Southern
Cote d'Ivoire,2020-01,10,26.667675,Southern
Denmark,2020-01,799,5.747676,Northern
Egypt,2020-01,275,11.898429,Northern
Finland,2020-01,17,-3.1125417,Northern
France,2020-01,2381,8.540905,Northern
Germany,2020-01,296,3.5324316,Northern
Ghana,2020-01,1,27.982698,Southern
Guatemala,2020-01,1,21.884094,Southern
Honduras,2020-01,5,22.387714,Southern
Hong Kong,2020-01,4554,17.723202,Southern
Hungary,2020-01,58,-0.4631633,Northern
Iceland,2020-01,82,-2.719782,Northern
India,2020-01,34,16.763756,Northern
Indonesia,2020-01,352,25.891323,Southern
Iran,2020-01,195,5.043538,Northern
Ireland,2020-01,430,6.4367666,Northern
Italy,2020-01,3050,5.425879,Northern
Japan,2020-01,1741,2.8248024,Northern
Kazakhstan,2020-01,335,-6.484623,Northern
Kenya,2020-01,1,25.930132,Southern
Kosovo,2020-01,44,0.4692292,Southern
Latvia,2020-01,33,2.7471402,Northern
Lebanon,2020-01,34,6.5546336,Northern
Lithuania,2020-01,50,2.6751933,Northern
Luxembourg,2020-01,134,3.848341,Northern
Malaysia,2020-01,108,25.987356,Southern
Mali,2020-01,28,21.151176,Southern
Mauritius,2020-01,9,25.847921,Southern
Moldova,2020-01,40,0.80477697,Northern
Mongolia,2020-01,516,-17.04487,Northern
Montenegro,2020-01,8,1.0831853,Northern
Nepal,2020-01,110,2.826171,Northern
Netherlands,2020-01,135,6.1047864,Northern
Nicaragua,2020-01,5,24.736795,Southern
Niger,2020-01,13,18.305616,Southern
North Korea,2020-01,12,-6.023394,Northern
Norway,2020-01,2048,-4.2383256,Northern
Pakistan,2020-01,3,7.544641,Northern
Paraguay,2020-01,18,28.533644,Southern
Poland,2020-01,55,2.2464514,Northern
Portugal,2020-01,761,9.292788,Northern
Qatar,2020-01,548,17.803816,Northern
Romania,2020-01,402,-0.5288708,Northern
Russia,2020-01,2984,-18.036057,Northern
Saudi Arabia,2020-01,137,14.80973,Northern
Senegal,2020-01,38,25.841911,Southern
Serbia,2020-01,190,-0.05324316,Northern
Slovakia,2020-01,36,-1.2999797,Northern
Slovenia,2020-01,462,1.2039297,Northern
South Africa,2020-01,8,23.69937,Southern
Spain,2020-01,2598,6.507159,Northern
Sri Lanka,2020-01,53,25.601809,Southern
Sweden,2020-01,719,-0.5118693,Northern
Switzerland,2020-01,785,-2.117217,Northern
Thailand,2020-01,91,25.127329,Southern
Togo,2020-01,1,27.373259,Southern
Ukraine,2020-01,260,0.5052088,Northern
United Arab Emirates,2020-01,40,18.33017,Northern
United Kingdom,2020-01,1494,6.23792,Northern
United States,2020-01,47460,-1.7636682,Northern
Vietnam,2020-01,2,21.063263,Southern
Afghanistan,2020-02,6,2.880046,Northern
Argentina,2020-02,13,20.49269,Southern
Armenia,2020-02,85,-3.9801886,Northern
Australia,2020-02,121,27.9413,Southern
Austria,2020-02,853,1.7826616,Northern
Bangladesh,2020-02,50,19.936495,Northern
Belgium,2020-02,593,6.5434947,Northern
Bhutan,2020-02,26,1.3634351,Northern
Bolivia,2020-02,27,21.980833,Southern
Brazil,2020-02,49,25.5942,Southern
Bulgaria,2020-02,51,4.8162465,Northern
Burkina Faso,2020-02,14,27.956703,Southern
Cambodia,2020-02,15,27.126392,Southern
Cameroon,2020-02,8,26.324968,Southern
Canada,2020-02,8468,-19.268824,Northern
Chile,2020-02,3,13.822464,Southern
China,2020-02,664,-2.8763916,Northern
Colombia,2020-02,33,25.793184,Southern
Cote d'Ivoire,2020-02,14,28.600615,Southern
Denmark,2020-02,1209,4.9289904,Northern
East Timor,2020-02,2,25.68037,Southern
Egypt,2020-02,166,14.469186,Northern
Finland,2020-02,21,-4.104153,Northern
France,2020-02,4877,10.374497,Northern
Germany,2020-02,402,5.34397,Northern
Ghana,2020-02,4,29.910522,Southern
Guatemala,2020-02,7,23.02304,Southern
Honduras,2020-02,2,23.279184,Southern
Hong Kong,2020-02,454,18.041765,Southern
Hungary,2020-02,132,5.752003,Northern
Iceland,2020-02,136,-3.3239808,Northern
India,2020-02,330,19.42699,Northern
Indonesia,2020-02,244,25.875904,Southern
Iran,2020-02,375,9.176353,Northern
Ireland,2020-02,272,5.920071,Northern
Italy,2020-02,3464,7.8003764,Northern
Japan,2020-02,880,2.8085897,Northern
Kazakhstan,2020-02,204,-3.653288,Northern
