"Year","Month","Country","Ah1n12009","Ah1","Ah3","Ah5","Ah7n9","A_no_subtype","Bvic","Byam","Bnotdetermined","Influenza_A","Influenza_B"
2009,"April","Northern Hemisphere",5034,1349,3431,6,0,2530,386,30,2532,12350,2948
2009,"April","Southern Hemisphere",1,9,47,0,0,13,0,0,2,70,2
2009,"August","Northern Hemisphere",40805,1340,8168,2,0,7422,62,67,468,57737,597
2009,"August","Southern Hemisphere",3844,39,121,0,0,201,0,0,65,4205,65
2009,"December","Northern Hemisphere",44016,203,633,2,0,2639,68,16,1393,47493,1477
2009,"December","Southern Hemisphere",234,0,1,0,0,6,0,0,0,241,0
2009,"February","Northern Hemisphere",6,5751,2975,2,0,8360,419,45,6402,17094,6866
2009,"February","Southern Hemisphere",0,7,39,0,0,15,0,0,2,61,2
2009,"January","Northern Hemisphere",0,5300,4668,1,0,5870,236,39,1596,15839,1871
2009,"January","Southern Hemisphere",0,0,7,0,0,22,0,0,0,29,0
2009,"July","Northern Hemisphere",34916,924,4462,2,0,4886,91,27,323,45190,441
2009,"July","Southern Hemisphere",8457,111,465,0,0,694,0,0,41,9727,41
2009,"June","Northern Hemisphere",41482,812,3399,4,0,11239,116,24,467,56936,607
2009,"June","Southern Hemisphere",10523,280,735,0,0,1135,0,0,9,12673,9
2009,"March","Northern Hemisphere",106,3019,2736,8,0,5591,681,42,7741,11460,8464
2009,"March","Southern Hemisphere",0,7,17,0,0,9,0,0,1,33,1
2009,"May","Northern Hemisphere",14367,1195,4432,9,0,5880,230,22,1428,25883,1680
2009,"May","Southern Hemisphere",645,33,268,0,0,88,0,0,6,1034,6
2009,"November","Northern Hemisphere",153558,651,1092,2,0,14008,7,45,594,169311,646
2009,"November","Southern Hemisphere",809,1,4,0,0,20,0,0,1,834,1
2009,"October","Northern Hemisphere",99985,587,1936,0,0,16278,8,54,572,118786,634
2009,"October","Southern Hemisphere",978,0,4,0,0,15,0,0,5,997,5
2009,"September","Northern Hemisphere",59097,1040,5421,2,0,12438,38,64,551,77998,653
2009,"September","Southern Hemisphere",807,8,6,0,0,45,0,0,22,866,22
2010,"April","Northern Hemisphere",1993,46,243,1,0,331,421,121,3967,2614,4509
2010,"April","Southern Hemisphere",168,0,108,0,0,23,4,0,84,299,88
2010,"August","Northern Hemisphere",3214,12,4749,2,0,1009,30,254,1060,8986,1344
2010,"August","Southern Hemisphere",1024,0,733,0,0,132,1,0,1020,1889,1021
2010,"December","Northern Hemisphere",8588,2,6180,5,0,6810,341,18,5741,21585,6100
2010,"December","Southern Hemisphere",105,0,416,0,0,98,9,0,99,619,108
2010,"February","Northern Hemisphere",6814,137,183,8,0,1107,438,150,4261,8249,4849
2010,"February","Southern Hemisphere",329,0,102,1,0,37,0,0,52,469,52
2010,"January","Northern Hemisphere",15191,106,352,3,0,1479,245,53,4864,17131,5162
2010,"January","Southern Hemisphere",407,0,22,0,0,76,6,0,15,505,21
2010,"July","Northern Hemisphere",1745,5,1181,1,0,255,63,191,890,3187,1144
2010,"July","Southern Hemisphere",532,0,207,0,0,122,6,0,564,861,570
2010,"June","Northern Hemisphere",1052,12,724,0,0,176,87,98,835,1964,1020
2010,"June","Southern Hemisphere",366,0,108,0,0,84,68,0,257,558,325
2010,"March","Northern Hemisphere",5303,54,212,6,0,950,1029,191,6817,6525,8037
2010,"March","Southern Hemisphere",595,0,139,0,0,38,3,0,78,772,81
2010,"May","Northern Hemisphere",1675,50,687,1,0,279,411,360,1860,2692,2631
2010,"May","Southern Hemisphere",169,0,102,0,0,48,25,0,129,319,154
2010,"November","Northern Hemisphere",1230,16,3792,2,0,1286,114,60,2347,6326,2521
2010,"November","Southern Hemisphere",84,0,468,0,0,397,6,0,223,949,229
2010,"October","Northern Hemisphere",652,10,3614,0,0,572,24,92,1020,4848,1136
2010,"October","Southern Hemisphere",192,0,532,0,0,835,0,0,334,1559,334
2010,"September","Northern Hemisphere",1224,11,5658,0,0,951,23,189,757,7844,969
2010,"September","Southern Hemisphere",440,0,1161,0,0,140,2,0,564,1741,566
2011,"April","Northern Hemisphere",1802,0,1064,5,0,748,571,74,2990,3619,3635
2011,"April","Southern Hemisphere",45,0,137,0,0,14,0,0,69,196,69
2011,"August","Northern Hemisphere",568,0,862,1,0,147,109,107,717,1578,933
2011,"August","Southern Hemisphere",949,0,880,0,0,368,0,0,421,2197,421
2011,"December","Northern Hemisphere",484,0,3295,2,0,665,448,165,2034,4446,2647
2011,"December","Southern Hemisphere",65,0,302,0,0,24,0,0,67,391,67
2011,"February","Northern Hemisphere",33569,0,8515,8,0,8851,1477,180,15260,50943,16917
2011,"February","Southern Hemisphere",117,0,288,0,0,90,0,0,82,495,82
2011,"January","Northern Hemisphere",40267,0,11882,5,0,15988,1425,98,17592,68142,19115
2011,"January","Southern Hemisphere",355,0,861,0,0,171,0,0,107,1387,107
2011,"July","Northern Hemisphere",562,0,805,2,0,113,91,71,407,1482,569
2011,"July","Southern Hemisphere",761,0,533,0,0,452,0,0,333,1746,333
2011,"June","Northern Hemisphere",401,0,407,3,0,70,93,38,375,881,506
2011,"June","Southern Hemisphere",838,0,323,0,0,102,0,0,198,1263,198
2011,"March","Northern Hemisphere",10321,0,3627,13,0,2938,1001,171,7445,16899,8617
2011,"March","Southern Hemisphere",43,0,211,0,0,22,0,0,86,276,86
2011,"May","Northern Hemisphere",510,0,291,5,0,196,250,57,1051,1002,1358
2011,"May","Southern Hemisphere",400,0,235,0,0,36,0,0,111,671,111
2011,"November","Northern Hemisphere",401,0,1437,3,0,455,109,159,999,2296,1267
2011,"November","Southern Hemisphere",117,0,194,0,0,37,0,0,143,348,143
2011,"October","Northern Hemisphere",1168,0,1519,1,0,368,48,102,1627,3056,1777
2011,"October","Southern Hemisphere",460,0,427,0,0,211,0,0,291,1098,291
2011,"September","Northern Hemisphere",340,0,999,0,0,163,29,58,1074,1502,1161
2011,"September","Southern Hemisphere",894,0,697,0,0,466,0,0,328,2057,328
2012,"April","Northern Hemisphere",1647,0,9215,3,0,3598,462,450,6263,14463,7175
2012,"April","Southern Hemisphere",143,0,206,0,0,45,14,3,262,394,279
2012,"August","Northern Hemisphere",444,0,2144,0,0,334,17,63,878,2922,958
2012,"August","Southern Hemisphere",356,0,1822,0,0,406,164,106,749,2584,1019
